"Year" "Price"
"1" 1971 3.5
"2" 1972 3.75
"3" 1973 4.5
"4" 1974 5.25
"5" 1975 6
"6" 1977 6
"7" 1978 6.5
"8" 1979 7
"9" 1980 7.5
"10" 1980 8
"11" 1981 9.5
"12" 1982 13.25
"13" 1982 15
"14" 1983 17
"15" 1984 17
"16" 1984 18
"17" 1985 19.5
"18" 1985 21.5
"19" 1986 23
"20" 1986 24.5
"21" 1986 26
"22" 1987 28
"23" 1988 28
"24" 1989 29
"25" 1990 31
"26" 1991 33
"27" 1992 34
"28" 1993 35
"29" 1994 36
"30" 1994 36
"31" 1995 37
"32" 1995 37
"33" 1996 38.5
"34" 1996 38.5
"35" 1997 39.75
"36" 1997 39.75
"37" 1998 42
"38" 1998 42
"39" 1999 44
"40" 1999 44
"41" 2000 46
"42" 2001 48
"43" 2002 50
"44" 2003 52
"45" 2004 52
"46" 2004 54.75
"47" 2004 54.75
"48" 2005 59.75
"49" 2006 63
"50" 2006 67
"51" 2007 71
"52" 2008 75
"53" 2009 75
"54" 2009 79
"55" 2010 82
"56" 2011 85
"57" 2012 89
"58" 2013 90
"59" 2014 94
"60" 2015 97
"61" 2016 110
"62" 2017 115
"63" 2018 119
"64" 2018 122
"65" 2019 125
